REF,name,vat,street,city,state,ZIP,email,phone,fax,website,Presidente Camara,dbname,in_directory
2619,Município Castelo de Paiva,PT502678917,Largo do Conde Sobrado,Castelo de Paiva,Aveiro,4550-102,gap.presidente@cm-castelo-paiva.pt,255689500,255699660,www.cm-castelo-paiva.pt,Gonçalo Fernando da Rocha de Jesus,castelodepaiva.croa.pt,1
2620,Município Castelo de Vide,PT506796035,Rua Bartolomeu Álvares da Santa,Castelo de Vide,Portalegre,7320-117,cm.castvide@mail.telepac.pt,245908220,245901827,www.cm-castelo-vide.pt,António Manuel das Neves Nobre Pita,castelodevide.croa.pt,1
2621,Município Castro Daire,PT506716210,Rua Dr. Pio Figueiredo N.º 42,Castro Daire,Viseu,3600-214,geral@cm-castrodaire.pt,232382214,232382923,www.cm-castrodaire.pt,José Fernando Carneiro Pereira,castrodaire.croa.pt,1
2622,Município Castro Marim,PT506801969,"Rua Dr. José Alves Moreira, N.º 10",Castro Marim,Faro,8950-138,expediente@cm-castromarim.pt,281510740,281510743,www.cm-castromarim.pt,Francisco Augusto Caimoto Amaral,castromarim.croa.pt,1
2623,Município Castro Verde,PT501135960,Praça do Município,Castro Verde,Beja,7780-217,geral@cm-castroverde.pt,286320700,286320709,www.cm-castroverde.pt,Francisco José Caldeira Duarte,castroverde.croa.pt,1
2624,Município Celorico da Beira,PT506849635,Rua Sacadura Cabral,Celorico da Beira,Guarda,6360-350,recursosfinanceiros@cm-celoricodabeira.pt,271747400,271747409,www.cm-celoricodabeira.pt,José Francisco Gomes Monteiro,celoricodabeira.croa.pt,1
2625,Município Celorico de Basto,PT506884929,Praça Cardeal D. António Ribeiro,Celorico de Basto,Braga,4890-220,geral@mun-celoricodebasto.pt,255320300,255323937,www.mun-celoricodebasto.pt,Joaquim Monteiro da Mota e Silva,celoricodebasto.croa.pt,1
2626,Município Chamusca,PT501305564,Rua Direita de São Pedro,Chamusca,Santarém,2140-098,contab.cmc@mail.telepac.pt,249769100,249760211,www.cm-chamusca.pt,Paulo Jorge Mira Lucas Cegonho Queimado,chamusca.croa.pt,1
2627,Município Chaves,PT501205551,Largo de Camões,Chaves,Vila Real,5400-150,municipio@chaves.pt,276340500,276327724,www.cm-chaves.pt,António Cândido Monteiro Cabeleira,chaves.croa.pt,1
2628,Município Cinfães,PT506693651,Largo Paços do Concelho,Cinfães,Viseu,4690-031,daf@cm-cinfaes.pt,255560560,255560569,www.cm-cinfaes.pt,Armando da Silva Mourisco,cinfaes.croa.pt,1
2629,Município Coimbra,PT506415082,Praça 8 de Maio,Coimbra,Coimbra,3000-300,geral@cm-coimbra.pt,239857500,239820114,www.cm-coimbra.pt,Manuel Augusto Soares Machado,coimbra.croa.pt,1
2630,Município Condeixa-a-Nova,PT501275380,Largo Artur Barreto,Condeixa-a-Nova,Coimbra,3150-128,geral@cm-condeixa.pt,239949120,239942711,www.cm-condeixa.pt,Nuno Moita da Costa,condeixa.croa.pt,1
2631,Município Constância,PT506826546,"Estrada Nacional, N.º 3",Constância,Santarém,2250-028,geral@cm-constancia.pt,249730050,249739514,www.cm-constancia.pt,Júlia  Maria Gonçalves Lopes de Amorim,constancia.croa.pt,1
2632,Município Coruche,PT506722422,"Edifício Paços do Concelho,  Praça da Liberdade",Coruche,Santarém,2100-121,geral@cm-coruche.pt,243610200,243610201,www.cm-coruche.pt,Francisco Silvestre de Oliveira,coruche.croa.pt,1
2633,Município Corvo,PT512065837,Rua Jogo da Bola,Corvo,Açores,9980-024,geral@cm-corvo.pt,292590200,292596120,www.cm-corvo.pt,José Manuel Alves da Silva,corvo.croa.pt,1
2634,Município Covilhã,PT505330768,Praça do Município,Covilhã,Castelo Branco,6200-407,info@cm-covilha.pt,275330600,275330633,www.cm-covilha.pt,Vitor Manuel Pinheiro Pereira,covilha.croa.pt,1
2635,Município Crato,PT506659968,Praça do Município,Crato,Portalegre,7430-999,geral@cm-crato.pt,245990110,245996679,www.cm-crato.pt,José Correia da Luz,crato.croa.pt,1
2636,Município Cuba,PT500832935,Rua Serpa Pinto,Cuba,Beja,7940-172,geral@cm-cuba.pt,284419900,284415137,www.cm-cuba.pt,João Manuel Casaca Português,cuba.croa.pt,1
2637,Município Elvas,PT501272968,Rua Isabel Maria Picão - Apartado 70,Elvas,Portalegre,7350-953,presidente@cm-elvas.pt,268639740,268629060,www.cm-elvas.pt,Nuno Miguel Fernandes Mocinha,elvas.croa.pt,1
2638,Município Entroncamento,PT501120149,Largo José Duarte Coelho,Entroncamento,Santarém,2330-078,geral@cm-entroncamento.pt,249720400,249718615,www.cm-entroncamento.pt,Jorge Manuel Alves de Faria,entroncamento.croa.pt,1
2639,Município Espinho,PT501158740,Praça Dr. José Salvador - Apartado 700,Espinho,Aveiro,4500-901,geral@cm-espinho.pt,227335800,227335852,www.cm-espinho.pt,Joaquim José Pinto Moreira,espinho.croa.pt,1
2640,Município Esposende,PT506617599,Praça do Município,Esposende,Braga,4740-223,nuno.vicente@cm-esposende.pt,253960100,253960176,www.cm-esposende.pt,António Benjamim da Costa Pereira,esposende.croa.pt,1
2641,Município Estarreja,PT501190082,Praça Francisco Barbosa,Estarreja,Aveiro,3864-001,geral@cm-estarreja.pt,234840600,234840607,www.cm-estarreja.pt,Diamantino Manuel Sabina,estarreja.croa.pt,1
2642,Município Estremoz,PT506556590,Rossio Marquês de Pombal,Estremoz,Évora,7100-513,contabilidade@cm-estremoz.pt,268339200,268334010,www.cm-estremoz.pt,Luis Filipe Pereira Mourinha,estremoz.croa.pt,1
2643,Município Évora,PT504828576,Praça do Sertório,Évora,Évora,7004-506,cmevora@mail.evora.net,266777000,266702950,www.cm-evora.pt,Carlos Manuel Rodrigues Pinto de Sá,evora.croa.pt,1
2644,Município Fafe,PT506841561,Avenida 5 de Outubro,Fafe,Braga,4820-501,geral@cm-fafe.pt,253700400,253700409,www.cm-fafe.pt,Raul Jorge Fernandes da Cunha,fafe.croa.pt,1
2645,Município Faro,PT506579425,Largo da Sé,Faro,Faro,8004-001,geral@cm-faro.pt,289870870,289870039,www.cm-faro.pt,Rogério Conceição Bacalhau Coelho,faro.croa.pt,1
2647,Município Felgueiras,PT501091823,Praça da República,Felgueiras,Porto,4610-116,geral@cm-felgueiras.pt,255318000,255318170,www.cm-felgueiras.pt,José Inácio Cardoso Ribeiro,felgueiras.croa.pt,1
2648,Município Ferreira do Alentejo,PT501227490,"Praça Comendador Infante Passanha, N.º 5",Ferreira do Alentejo,Beja,7900-571,geral@cm-ferreira-alentejo.pt,284738700,284739250,www.cm-ferreira-alentejo.pt,Aníbal Sousa Reis Coelho da Costa,ferreiraalentejo.croa.pt,1
2649,Município Ferreira do Zêzere,PT501216839,Praça Dias Ferreira,Ferreira do Zêzere,Santarém,2240-340,geral@cm-ferreiradozezere.pt,249360150,249360169,www.cm-ferreiradozezere.pt,Jacinto Manuel Lopes Cristas Flores,ferreiradozezere.croa.pt,1
2652,Município Figueira Da Foz,PT501305580,Avenida Saraiva de Carvalho,Figueira Da Foz,Coimbra,3084-501,municipe@cm-figfoz.pt,233403300,233403310,www.figueiradigital.com,João Albino Rainho Ataide das Neves,figueira.croa.pt,1
2651,Município Figueira de Castelo Rodrigo,PT505987449,"Largo Dr. Vilhena, N.º 1",Figueira de Castelo Rodrigo,Guarda,6440-100,cm-fcr@cm-fcr.pt,271319000,271319009,www.cm-fcr.pt,Paulo José Gomes Langrouva,fcr.croa.pt,1
2650,Município Figueiró dos Vinhos,PT506546381,Praça do Município,Figueiró dos Vinhos,Leiria,3260-408,presidencia@cm-figueirodosvinhos.pt,236559550,236552596,www.cm-figueirodosvinhos.pt,Jorge Manuel Fernandes de Abreu,figueirodosvinhos.croa.pt,1
2653,Município Fornos de Algodres,PT505592959,"Estrada Nacional, N.º 16",Fornos de Algodres,Guarda,6370-999,geral@cm-fornosdealgodres.pt,271700060,271700068,www.cm-fornosdealgodres.pt,António Manuel Pina Fonseca,fornosdealgodres.croa.pt,1
2654,Município Freixo de Espada à Cinta,PT506884937,Av.ªGuerra Junqueiro,Freixo de Espada à Cinta,Bragança,5180-104,geral@cm-freixoespadacinta.pt,279658160,279658165,www.cm-freixoespadacinta.pt,Maria do Céu Quintas,freixodeespadacinta.croa.pt,1
2655,Município Fronteira,PT501162941,Praça do Município,Fronteira,Portalegre,7460-110,municipio@cm-fronteira.pt,245600070,245600099,www.cm-fronteira.pt,Rogério David Sádio da Silva,fronteira.croa.pt,1
2656,Município Funchal,PT511217315,Praça do Município,Funchal,Madeira,9004-512,cmf@cm-funchal.pt,291211000,291226343,www.cm-funchal.pt,Paulo Alexandre Nascimento Cafôfo,funchal.croa.pt,1
2657,Município Fundão,PT506215695,Praça do Município,Fundão,Castelo Branco,6230-338,geral@cm-fundao.pt,275779060,275779079,www.cm-fundao.pt,Paulo Alexandre Bernardo Fernandes,fundao.croa.pt,1
2659,Município Gavião,PT506865517,Largo do Município,Gavião,Portalegre,6040-102,geral@cm-gaviao.pt,241639070,241639079,www.cm-gaviao.pt,José Fernando da Silva Pio,gaviao.croa.pt,1
2658,Município Góis,PT506613399,Praça da República,Góis,Coimbra,3330-310,correio@cm-gois.pt,235770110,235770114,www.cm-gois.pt,Maria de Lurdes de Oliveira Castanheira,gois.croa.pt,1
2660,Município Golegã,PT506563774,Largo D.Manuel I,Golegã,Santarém,2150-128,geral@cm-golega.pt,249979050,249979059,www.cm-golega.pt,Rui Manuel Lince Singeis Medinas Duarte,golega.croa.pt,1
2661,Município Gondomar,PT506848957,Praça Manuel Guedes,Gondomar,Porto,4420-193,c.m.gondomar@mail.telepac.pt,224660500,224660566,www.cm-gondomar.pt,Marco André dos Santos Martins Lopes,gondomar.croa.pt,1
2662,Município Gouveia,PT506510476,Avenida 25 de Abril,Gouveia,Guarda,6290-554,geral@cm-gouveia.pt,238490210,238494686,www.cm-gouveia.pt,Luís Manuel Tadeu Marques,gouveia.croa.pt,1
2663,Município Grândola,PT506823318,Rua Dr. José Pereira Barradas,Grândola,Setúbal,7570-281,geral@cm-grandola.pt,269450000,269451498,www.cm-grandola.pt,António Jesus Figueira Mendes,grandola.croa.pt,1
2664,Município Guarda,PT501131140,Praça do Município,Guarda,Guarda,6301-854,geral@mun-guarda.pt,271220200,271220272,www.mun-guarda.pt,Álvaro dos  Santos Amaro,guarda.croa.pt,1
2665,Município Guimarães,PT505948605,Largo Cónego José Maria Gomes,Guimarães,Braga,4804-534,geral@cm-guimaraes.pt,253421200,253515134,www.guimaraes.pt,Domingos Bragança Salgado,guimaraes.croa.pt,1
2666,Município Horta,PT512073821,Largo Duque D´Ávila e Bolama,Horta,Açores,9900-141,geral@cmhorta.pt,292202000,292293990,www.cmhorta.pt,João Fernando Brum de Azevedo e Castro,horta.croa.pt,1
2667,Município Idanha-a-Nova,PT501121030,Largo do Município,Idanha-a-Nova,Castelo Branco,6060-163,dfp@cm-idanhanova.pt,277200570,277200580,www.cm-idanhanova.pt,Armindo Moreira Palma Jacinto,idanhaanova.croa.pt,1
2668,Município Ílhavo,PT506920887,Avenida 25 de Abril,Ílhavo,Aveiro,3830-044,geralcmi@cm-ilhavo.pt,234329600,234329601,www.cm-ilhavo.pt,Fernando Fidalgo Caçoilo,ílhavo.croa.pt,1
2670,Município Lagoa (algarve),PT506804240,Largo do Município,Lagoa (algarve),Faro,8401-851,expediente@cm-lagoa.pt,282380400,282380444,www.cm-lagoa.pt,Francisco José Malveiro Martins,lagoa.croa.pt,1
2669,Município Lagoa (São Miguel),PT512074410,Largo D.João III,Lagoa (São Miguel),Açores,9560-045,cmlagoa.az@mail.telepac.pt,296960600,296916229,http://cm-lagoa.azoresdigital.pt/,João António Ferreira Ponte,lagoasaomiguel.croa.pt,1
2671,Município Lagos,PT505170876,Paços do Concelho Séc. XXI Praça do Município,Lagos,Faro,8600-293,expediente.geral@cm-lagos.pt,282771700,282769317,www.cm-lagos.pt,Maria Joaquina Baptista Quintans de Matos,lagos.croa.pt,1
2672,Município Lajes das Flores,PT512074836,"Avenida do Emigrante, N.º 4",Lajes das Flores,Açores,9960-431,geral@cmlajesdasflores.pt,292590800,292590826,www.cmlajesflores.com,Luís Carlos Martins Maciel,lajesdasflores.croa.pt,1
2673,Município Lajes do Pico,PT512074143,Rua de São Francisco,Lajes do Pico,Açores,9930-135,cmlpico@mail.telepac.pt,292679700,292679710,www.municipio-lajes-do-pico.pt,Roberto Manuel Medeiros da Silva,lajesdopico.croa.pt,1
